,artists,duration_ms,explicit,id,mode,name,popularity,release_date,year,language,combined_features
49970,['The Ventures'],106760,0,7xKvC675if8al9BFu2FIVQ,1,The Heavies,14,1963-01-01,1963,,['The Ventures'] 1963-01-01
42901,['Al Green'],149333,0,7gmlRB4Xx8Q5gTQE3bY4rT,0,Gotta Find a New World,28,1969,1969,,['Al Green'] 1969
48395,"['Giacomo Puccini', 'Giuseppe Antonicelli', 'Metropolitan Opera Orchestra']",110360,0,6iUq4tIPhj1iHHRkEPD0uK,1,La Bohème: Act III - Chi nel ber trovò il piacer,0,1948,1948,,"['Giacomo Puccini', 'Giuseppe Antonicelli', 'Metropolitan Opera Orchestra'] 1948"
14386,['Los Angeles Azules'],171507,0,50I2hZeQ1tiPE8zvkFkQsM,1,Desde Que Te Ví,47,2002-01-01,2002,,['Los Angeles Azules'] 2002-01-01
43416,['Sly & The Family Stone'],198520,0,1l9EHaWsZ2LSiULI97ymRB,1,Say You Will,24,1974-07,1974,,['Sly & The Family Stone'] 1974-07
78544,['Fats Waller'],184053,0,0fkfPggXhmXEkzCq0170MQ,1,Your Feet's Too Big,21,1926,1926,,['Fats Waller'] 1926
102069,['The Band'],181038,0,2mkz7LrEqofmv0PvcihXW7,1,Long Black Veil - Remastered,42,1968-07-01,1968,,['The Band'] 1968-07-01
59454,['Bill LaBounty'],262693,0,2zjs7VtYszHqh3gHcSHGJP,1,Dream On,28,1982-01-01,1982,,['Bill LaBounty'] 1982-01-01
36952,"['Adam Gussow', 'Sterling Magee']",35973,0,3yRZJl2bKOzKCncwEVMXMS,1,Freedom For My People - Excerpt,37,1988-10-10,1988,,"['Adam Gussow', 'Sterling Magee'] 1988-10-10"
95043,['Billy Joel'],214400,0,4cURHmiuYii52BVbhrGbv0,1,"Lullabye (Goodnight, My Angel)",57,1993-08-10,1993,,['Billy Joel'] 1993-08-10
109080,['9 Days Wonder'],373680,0,3BzYKnzbXGRDioQayZaSRX,0,A Man's Will,0,1944-04-11,1944,,['9 Days Wonder'] 1944-04-11
138153,['Frank Sinatra'],163400,0,5IgKIJcvH6E41tudr3qfyv,1,The Song Is You - 1998 Remaster,20,1959,1959,,['Frank Sinatra'] 1959
63097,"['Chance the Rapper', 'Death Cab for Cutie']",236686,0,67xBtV07CC73eFw7z5oCvU,1,Do You Remember,61,2019-07-26,2019,,"['Chance the Rapper', 'Death Cab for Cutie'] 2019-07-26"
160270,['Ashanti'],267680,0,7LFcepuZqkpghbKnslItnx,0,The Way That I Love You,48,2008-01-01,2008,,['Ashanti'] 2008-01-01
7819,['Barns Courtney'],176093,0,1Mf27cnAF1Q6Ko83XTM5d1,1,Glitter & Gold,67,2017-09-29,2017,,['Barns Courtney'] 2017-09-29
92030,['Frankie Valli & The Four Seasons'],138760,0,2uk59d1SHYJXDCgbMrqHBn,0,Apple of My Eye,34,1962-10-01,1962,,['Frankie Valli & The Four Seasons'] 1962-10-01
101466,"['Peter, Paul and Mary']",173267,0,09JmpOX5co0ZIw175ZNAaR,0,Sorrow,32,1962,1962,,"['Peter, Paul and Mary'] 1962"
30391,['Los Diablitos'],283787,0,1lMWIocgDgDRBmYQnoTi44,1,Que No Me Faltes Tu,54,2002,2002,,['Los Diablitos'] 2002
137658,['Pete Seeger'],145387,0,301uh855IX7ivzsgoO2osl,0,Paddy Works on the Railroad,6,1954-01-01,1954,,['Pete Seeger'] 1954-01-01
153491,['Falange Española'],131640,0,74ogwEyEpGcZUADXR8wMST,0,Arriba España - Remastered,5,1936-03-12,1936,,['Falange Española'] 1936-03-12
165105,['Bread'],190667,0,1IT6oO8m3SgIRFRmgJ9Hg6,0,Didn't Even Know Her Name,36,1972,1972,,['Bread'] 1972
164854,['Antônio Carlos Jobim'],128280,0,7AD0HyWHuDjcS74zGAzOhO,0,Choro,38,1970,1970,,['Antônio Carlos Jobim'] 1970
24653,['Balgandharva'],202107,0,3haBSePAGrprJYHnc3RQuU,0,Deva Dharile Charan,0,1945-12-31,1945,,['Balgandharva'] 1945-12-31
160574,['Zack Hemsey'],393288,0,5KH9kPpOZZV2WkJj6WWt1O,1,Vengeance,58,2011-06-30,2011,,['Zack Hemsey'] 2011-06-30
